Phone Issues,Time of Issue,Caller ID Number,Advertiser Business Phone Number,Type of Call or Message (Robocalls),Type of Call or Message (Telemarketing),State,Date (Ticket Date of Issue),Date (Ticket Created)
Telemarketing (including do not call and spoofing),11:55 AM,-,-,,Prerecorded Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:59 AM,-,-,,Live Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:59 AM,619-425-9246,-,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:15 PM,347-264-7634,-,,Live Voice,Tennessee,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:17 PM,717-409-1010,717-409-1010,,Live Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:17 p.m.,-,701-557-9417,,Live Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:01 p.m.,646-502-5156,-,,Live Voice,Pennsylvania,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:02 PM,-,914-265-6511,,Live Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:06 PM,214-269-8811,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:20 PM,-,-,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:20 PM,614-653-2908,-,,Prerecorded Voice,Delaware,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:20 p.m.,-,-,,Live Voice,Iowa,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:13 PM,606-620-9103,606-620-9103,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:15 PM,702-993-0399,-,,Live Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:20 PM,-,-,,Live Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:20 PM,516-945-9137,516-945-9137,,Prerecorded Voice,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:20 p.m.,865-986-5184,-,,Abandoned Calls,Tennessee,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:22 PM,267-233-6724,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:22 PM,646-866-9198,-,,Live Voice,Oklahoma,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:25 PM,612-889-0344,-,,Prerecorded Voice,Minnesota,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:35 PM,314-429-3331,-,,Live Voice,Nevada,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:40 PM,909-218-4510,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:45 PM,310-929-1214,-,,Live Voice,District of Columbia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:45 p.m.,201-991-8699,-,,Live Voice,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),12:58 p.m.,-,267-233-6724,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:27 PM,501-940-5734,-,,Live Voice,Arkansas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:28 PM,636-224-3268,-,,Prerecorded Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:30 PM,470-885-0012,470-885-0012,,Live Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:30 PM,728-726-6654,-,,Prerecorded Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:30 p.m.,202-734-4405,202-738-4405,,Live Voice,Maryland,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:35 PM,209-289-0188,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:37 PM,-,844-745-4347,,Abandoned Calls,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:38 p.m.,814-659-1085,-,,Prerecorded Voice,Pennsylvania,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:39 PM,301-942-7869,-,,Prerecorded Voice,Maryland,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:41 p.m.,954-236-6083,-,,Live Voice,Pennsylvania,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:57 PM,201-537-5594,-,,Live Voice,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:59 PM,-,646-253-0657,,Live Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:59 PM,203-708-1257,-,,Live Voice,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:00 PM,-,-,,Live Voice,Kansas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:00 PM,206-900-8701,206-900-8701,,Prerecorded Voice,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:00 PM,313-570-3344,-,,Abandoned Calls,Minnesota,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:00 PM,360-369-4186,-,,Prerecorded Voice,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:00 PM,510-275-0116,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:00 PM,763-445-4982,-,,Prerecorded Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:00 PM,908-432-1203,908-432-1203,,Prerecorded Voice,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:05 PM,-,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:06 PM,347-321-8040,347-321-8040,,Live Voice,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:07 p.m.,419-549-8425,-,,Live Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:09 PM,-,-,,Live Voice,Utah,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:10 p.m.,513-253-1601,-,,Prerecorded Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:14 PM,562-755-2509,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:15 PM,626-315-1790,-,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:15 PM,469-904-6878,-,,Live Voice,South Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:17 p.m.,-,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:19 P.M.,000-000-0000,-,,Live Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:19 P.M.,914-760-2042,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:20 P.M.,719-280-0187,719-280-0187,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:24 p.m.,501-744-7029,-,,Prerecorded Voice,Arkansas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:25 P.M.,-,-,,Live Voice,New Mexico,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:26 PM,-,-,,Prerecorded Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:27 PM,765-807-7109,-,,Abandoned Calls,Indiana,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:30 PM,203-204-2992,-,,Live Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:30 PM,740-598-2037,-,,Live Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:30 p.m.,-,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:30 p.m.,603-201-1189,-,,Live Voice,New Hampshire,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:34 PM,301-884-3204,-,,Live Voice,Maryland,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:40 PM,267-233-6724,-,,Prerecorded Voice,Louisiana,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:40 PM,617-719-4280,-,,Abandoned Calls,Massachusetts,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:40 PM,619-489-0084,-,,Prerecorded Voice,Tennessee,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:42 PM,202-381-2830,202-381-2830,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:45 PM,-,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:45 PM,918-671-2464,-,,Prerecorded Voice,Oklahoma,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:45 P.M.,-,770-679-1423,,Live Voice,New Mexico,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:46 p.m.,619-489-0093,-,,Abandoned Calls,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:46 P.M.,-,-,,Abandoned Calls,Missouri,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:49 PM,706-403-2595,-,,Live Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:51 PM,234-217-0305,-,,Prerecorded Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:54 p.m.,510-556-5225,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),2:55 PM,619-489-0089,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 PM,-,-,,Live Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 PM,-,-,,Prerecorded Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 PM,-,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 PM,405-413-1031,-,,Prerecorded Voice,Oklahoma,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 PM,414-803-1488,-,,Prerecorded Voice,Wisconsin,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 PM,785-379-5622,-,,Abandoned Calls,Kansas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 p.m.,240-573-7979,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 p.m.,281-407-7643,-,,Live Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:00 PM,815-398-0359,-,,Prerecorded Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:11 PM,832-792-9212,832-792-9212,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:15 p.m.,786-623-2392,786-623-2392,,Prerecorded Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:21 PM,347-284-6826,-,,Live Voice,Minnesota,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:22 PM,909-281-8058,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:29 PM,218-520-4673,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:29 PM,248-304-7938,-,,Abandoned Calls,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:30 PM,313-570-3344,313-570-3344,,Abandoned Calls,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:30 p.m.,224-513-4480,-,,Prerecorded Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:30 PM,216-586-3954,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:34 p.m.,800-319-3921,-,,Abandoned Calls,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:40 PM,240-573-7979,-,,Prerecorded Voice,Tennessee,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:40 PM,619-489-0084,-,,Prerecorded Voice,Iowa,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:45 p.m.,415-316-0420,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:50 PM,312-625-9237,-,,Live Voice,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),3:55 p.m.,302-222-5555,-,,Live Voice,Louisiana,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:00 PM,832-426-2008,832-426-2008,,Live Voice,New Hampshire,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:04 P.M.,305-582-1854,-,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:05 P.M.,458-201-1356,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:19 PM,800-757-6527,-,,Abandoned Calls,North Dakota,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:20 P.M.,763-445-4982,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:25 PM,502-473-0267,-,,Live Voice,Kentucky,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:28 PM,315-636-4059,315-636-4059,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:30 PM,407-439-0395,-,,Prerecorded Voice,Pennsylvania,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:30 PM,818-341-0474,-,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:30 p.m.,-,214-269-8811,,Live Voice,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:30 p.m.,781-897-0838,781-897-0838,,Prerecorded Voice,New Hampshire,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:35 PM,404-548-3565,-,,Prerecorded Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:37 PM,866-683-2218,866-683-2218,,Prerecorded Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:39 PM,215-367-1576,215-367-1576,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:40 PM,301-787-6667,-,,Prerecorded Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:40 p.m.,831-440-3738,480-468-5821,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:52 PM,951-379-5072,-,,Live Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:53 P.M.,240-573-7979,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:55 PM,866-746-7622,-,,Prerecorded Voice,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),4:58 PM,909-222-1159,909-222-1159,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:00 PM,-,-,,Text Messaage,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:00 PM,319-432-0480,-,,Live Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:00 PM,858-716-6364,-,,Abandoned Calls,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:00 PM,952-201-9182,-,,Prerecorded Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:00 p.m.,304-381-8405,-,,Live Voice,Tennessee,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:00 PM,202-436-9791,-,,Live Voice,Missouri,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:01 PM,516-945-9137,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:08 PM,717-409-1010,-,,Live Voice,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:10 PM,-,-,,Live Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:18 PM,727-785-6928,-,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:21 PM,-,-,,Live Voice,Kentucky,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:24 p.m.,-,-,,Live Voice,South Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:26 p.m.,-,240-573-7979,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:30 PM,-,855-323-8822,,Live Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:30 PM,614-907-4910,-,,Live Voice,South Dakota,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:44 PM,941-650-1514,941-650-1514,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:45 PM,-,-,,Live Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:45 P.M.,267-233-6597,267-233-6597,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),5:59 PM,650-776-2703,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:00 PM,785-594-1728,-,,Live Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:10 AM,864-412-0213,-,,Abandoned Calls,Tennessee,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:10 p.m.,947-282-4721,-,,Text Messaage,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:15 PM,832-942-3917,-,,Live Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:23 AM,240-573-7979,-,,Prerecorded Voice,Oregon,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:30 PM,-,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:30 PM,469-828-3993,-,,Live Voice,Minnesota,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:30 PM,253-470-0164,253-470-0164,,Prerecorded Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:36 PM,773-906-5521,-,,Live Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:51 p.m.,223-600-1229,-,,Abandoned Calls,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),6:58 PM,339-499-5782,-,,Live Voice,South Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:00 AM,831-612-3098,-,,Live Voice,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:00 AM,267-233-6724,-,,Prerecorded Voice,Oregon,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:00 PM,321-636-2179,-,,Abandoned Calls,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:02 PM,-,-,,Live Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:05 AM,216-904-8149,-,,Live Voice,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:13 p.m.,202-558-7468,202-558-7468,,Live Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:24 AM,916-995-7769,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:25 p.m.,470-695-3389,470-695-3389,,Live Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:25 P.M.,-,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:27 p.m.,763-713-0323,-,,Prerecorded Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:36 AM,202-697-9445,202-697-9445,,Prerecorded Voice,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:45 PM,928-220-8555,-,,Live Voice,Washington,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),7:49 a.m.,800-149-8475,800-149-8475,,Live Voice,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),8:00 PM,313-444-2947,-,,Abandoned Calls,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),8:06 AM,972-638-5847,-,,Live Voice,Oregon,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),8:18 AM,202-580-8211,202-580-8211,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),8:20 AM,614-429-4409,-,,Abandoned Calls,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),8:20 PM,-,877-710-3334,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
